	Temps [s]	T1MID [°C]	
458	25,041	81,939	
459	25,141	82,161	
460	25,241	82,318	
461	25,341	82,416	
462	25,441	82,46	
463	25,541	82,455	
464	25,641	82,406	
465	25,741	82,318	
466	25,841	82,195	
467	25,941	82,041	
468	26,041	81,86	
469	26,141	81,654	
470	26,241	81,428	
471	26,341	81,183	
472	26,441	80,922	
473	26,541	80,647	
474	26,641	80,361	
475	26,741	80,064	
476	26,841	79,76	
477	26,941	79,449	
478	27,041	79,132	
479	27,141	78,811	
480	27,241	78,486	
481	27,341	78,159	
482	27,441	77,831	
483	27,541	77,502	
484	27,641	77,173	
485	27,741	76,845	
486	27,841	76,518	
487	27,941	76,192	
488	28,041	75,868	
489	28,141	75,547	
490	28,241	75,228	
491	28,341	74,912	
492	28,441	74,599	
493	28,541	74,289	
494	28,641	73,983	
495	28,698	73,81	
496	28,755	73,639	
497	28,756	73,636	
498	28,757	73,633	
499	28,76	73,624	
500	28,765	73,609	
501	28,77	73,594	
502	28,775	73,578	
503	28,78	73,563	
504	28,785	73,548	
505	28,79	73,533	
506	28,795	73,518	
507	28,8	73,503	
508	28,805	73,488	
509	28,81	73,473	
510	28,815	73,458	
511	28,82	73,443	
512	28,825	73,428	
513	28,83	73,413	
514	28,835	73,398	
515	28,84	73,384	
516	28,84	73,383	
517	28,84	73,383	
518	28,84	73,383	
519	28,841	73,382	
520	28,841	73,381	
521	28,942	73,091	
522	29,042	72,831	
523	29,142	72,613	
524	29,242	72,453	
525	29,342	72,358	
526	29,442	72,327	
527	29,542	72,356	
528	29,642	72,435	
529	29,742	72,555	
530	29,842	72,704	
531	29,942	72,871	
532	30,042	73,049	
533	30,142	73,228	
534	30,242	73,403	
535	30,342	73,567	
536	30,442	73,718	
537	30,542	73,853	
538	30,642	73,969	
539	30,742	74,065	
540	30,842	74,14	
541	30,942	74,196	
542	31,042	74,231	
543	31,142	74,246	
544	31,242	74,242	
545	31,342	74,221	
546	31,442	74,182	
547	31,542	74,127	
548	31,642	74,057	
549	31,742	73,973	
550	31,842	73,876	
551	31,942	73,767	
552	32,042	73,648	
553	32,142	73,519	
554	32,242	73,38	
555	32,342	73,234	
556	32,442	73,08	
557	32,542	72,92	
558	32,642	72,755	
559	32,742	72,584	
560	32,842	72,409	
561	32,942	72,23	
562	33,042	72,048	
563	33,142	71,863	
564	33,242	71,675	
565	33,342	71,486	
566	33,442	71,296	
567	33,542	71,104	
568	33,642	70,912	
569	33,742	70,719	
570	33,842	70,526	
571	33,942	70,333	
572	34,042	70,14	
573	34,142	69,948	
574	34,242	69,757	
575	34,308	69,63	
576	34,375	69,503	
577	34,376	69,501	
578	34,377	69,499	
579	34,38	69,493	
580	34,385	69,484	
581	34,39	69,474	
582	34,395	69,465	
583	34,4	69,455	
584	34,405	69,446	
585	34,41	69,436	
586	34,415	69,427	
587	34,42	69,417	
588	34,425	69,408	
589	34,43	69,398	
590	34,435	69,389	
591	34,44	69,379	
592	34,445	69,37	
593	34,45	69,36	
594	34,455	69,351	
595	34,46	69,342	
596	34,46	69,341	
597	34,46	69,341	
598	34,46	69,341	
599	34,461	69,34	
600	34,461	69,34	
601	34,561	69,152	
602	34,661	68,97	
603	34,761	68,797	
604	34,861	68,639	
605	34,961	68,502	
606	35,061	68,389	
607	35,161	68,304	
608	35,261	68,248	
609	35,361	68,22	
610	35,461	68,219	
611	35,561	68,241	
612	35,661	68,284	
613	35,761	68,343	
614	35,861	68,415	
615	35,961	68,496	
616	36,061	68,583	
617	36,161	68,672	
618	36,261	68,761	
619	36,361	68,848	
620	36,461	68,931	
621	36,561	69,008	
622	36,661	69,078	
623	36,761	69,139	
624	36,861	69,193	
625	36,961	69,237	
626	37,061	69,271	
627	37,161	69,296	
628	37,261	69,312	
629	37,361	69,318	
630	37,461	69,314	
631	37,561	69,302	
632	37,661	69,281	
633	37,761	69,252	
634	37,861	69,214	
635	37,961	69,169	
636	38,061	69,117	
637	38,161	69,058	
638	38,261	68,993	
639	38,361	68,922	
640	38,461	68,845	
641	38,561	68,763	
642	38,661	68,677	
643	38,761	68,586	
644	38,861	68,491	
645	38,961	68,393	
646	39,061	68,291	
647	39,161	68,186	
648	39,261	68,078	
649	39,361	67,969	
650	39,461	67,856	
651	39,561	67,742	
652	39,661	67,627	
653	39,761	67,51	
654	39,861	67,391	
655	39,961	67,272	
656	40,023	67,198	
657	40,085	67,123	
