	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
255	11,85	93,078	100,	97,169	
256	11,855	93,077	100,	97,168	
257	11,86	93,076	100,	97,167	
258	11,865	93,075	100,	97,166	
259	11,87	93,074	100,	97,166	
260	11,875	93,073	100,	97,165	
261	11,88	93,071	100,	97,164	
262	11,885	93,07	100,	97,163	
263	11,89	93,069	100,	97,162	
264	11,895	93,068	100,	97,161	
265	11,9	93,067	100,	97,161	
266	11,905	93,066	100,	97,16	
267	11,91	93,065	100,	97,159	
268	11,915	93,064	100,	97,158	
269	11,92	93,063	107,25	97,672	
270	11,925	93,062	114,33	98,133	
271	11,93	93,061	119,33	98,553	
272	11,935	93,059	123,31	98,942	
273	11,94	93,058	126,73	99,307	
274	11,945	93,057	129,72	99,65	
275	11,95	93,056	132,39	99,976	
276	11,955	93,055	134,87	100,29	
277	11,96	93,054	137,3	100,59	
278	11,965	93,053	139,6	100,87	
279	11,97	93,052	141,81	101,15	
280	11,975	93,051	143,92	101,42	
281	11,98	93,05	145,94	101,68	
282	11,985	93,049	147,87	101,93	
283	11,99	93,048	149,73	102,18	
284	11,995	93,047	151,52	102,42	
285	12,	93,046	153,26	102,66	
286	12,002	93,046	153,94	102,75	
287	12,002	93,081	210,	114,87	
288	12,002	93,081	210,	114,87	
289	12,002	93,081	210,	114,89	
290	12,003	93,081	210,	114,88	
291	12,053	93,073	207,21	114,09	
292	12,07	93,07	206,09	113,89	
293	12,086	93,067	204,83	113,72	
294	12,136	93,06	200,46	113,28	
295	12,221	93,048	192,85	112,57	
296	12,36	93,032	181,66	111,4	
297	12,553	93,015	169,14	109,83	
298	12,806	92,997	156,63	107,98	
299	13,106	92,982	145,35	106,09	
300	13,406	92,971	136,48	104,5	
301	13,706	92,964	129,33	103,17	
302	14,006	92,958	123,42	102,06	
303	14,306	92,954	118,46	101,13	
304	14,606	92,951	114,29	100,35	
305	14,906	92,948	110,75	99,697	
306	15,206	92,947	107,75	99,151	
307	15,506	92,945	105,21	98,693	
308	15,806	92,944	103,05	98,308	
309	16,106	92,944	101,21	97,985	
310	16,406	92,943	100,	97,714	
311	16,706	92,943	100,	97,485	
312	17,006	92,662	100,	97,292	
313	17,306	92,051	100,	97,13	
314	17,606	91,323	100,	96,994	
315	17,805	90,879	100,	96,913	
316	18,003	90,483	100,	96,842	
